gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000095041,34.076626,2.9523919,1.6373830533119227e-254,2.6431455938087714e-250
ENSMUSG00000024758,27.107878,0.5997453,7.951142181216302e-162,3.6671803617224045e-158
ENSMUSG00000026797,22.505468,0.62268984,3.6691313041797213e-112,7.89719361036282e-109
ENSMUSG00000030704,22.497866,0.65791583,4.35529343129281e-112,8.788165526830524e-109
ENSMUSG00000026959,21.649078,0.9287731,6.200781588058348e-104,1.1121790753914652e-100
ENSMUSG00000027273,21.055523,0.716198,2.0352378672933714e-98,3.2853827272783246e-95
ENSMUSG00000022285,20.848085,0.48672667,1.586433174233051e-96,2.4389521442911457e-93
ENSMUSG00000045095,20.456259,0.87342954,5.28400115521087e-93,7.108082387332623e-90
ENSMUSG00000002265,20.186798,0.42466474,1.2788760060959255e-90,1.6515404742722783e-87
ENSMUSG00000021939,19.121113,0.73401326,1.6847156923518292e-81,1.6997201914868377e-78
ENSMUSG00000051853,18.72104,0.70592314,3.335648135213614e-78,3.1673941189815156e-75
ENSMUSG00000096768,18.658606,1.7958753,1.0750019771321823e-77,9.916125380489287e-75
ENSMUSG00000019923,18.335032,0.44986722,4.347699942344425e-75,3.8990414621830487e-72
ENSMUSG00000073590,18.324615,3.2391584,5.26530437601366e-75,4.594333831881109e-72
ENSMUSG00000023004,18.20092,0.8615986,5.074885335794962e-74,4.311649291214219e-71
ENSMUSG00000004207,17.971296,0.6376785,3.269808510272067e-72,2.574774823271553e-69
ENSMUSG00000030654,17.5457,0.59050155,6.415739653744726e-69,4.817026853980198e-66
ENSMUSG00000004267,17.533901,0.70771337,7.896204408353331e-69,5.793839984629257e-66
ENSMUSG00000026825,17.350704,0.6168743,1.948421212170248e-67,1.3978839741092546e-64
ENSMUSG00000022973,16.976814,0.50669545,1.2192871487229294e-64,8.0336093054122e-62
ENSMUSG00000026787,16.947262,0.9630713,2.0162909040030123e-64,1.301919036714745e-61
ENSMUSG00000046434,16.827105,0.77348757,1.5447355668103286e-63,9.590728418167588e-61
ENSMUSG00000045193,16.80187,1.5953416,2.3646832522439494e-63,1.4404490339376586e-60
ENSMUSG00000020894,16.685993,0.46455005,1.6572727354128553e-62,9.908342641260006e-60
ENSMUSG00000034891,16.672245,1.2546237,2.0861055418115915e-62,1.224543953043404e-59
ENSMUSG00000025630,16.6322,1.0425844,4.073568324411833e-62,2.2675026440282075e-59
ENSMUSG00000031996,16.577919,0.8291424,1.006555852134089e-61,5.507907743415096e-59
ENSMUSG00000040097,16.538363,0.7406465,1.942300154952433e-61,1.045119341710655e-58
ENSMUSG00000040035,16.406391,0.56325203,1.7213828364514302e-60,8.68356951169288e-58
ENSMUSG00000021577,16.381783,0.7363429,2.58063919074842e-60,1.2623626708077687e-57
ENSMUSG00000037852,16.333233,0.540244,5.726737124903519e-60,2.7189368834927957e-57
ENSMUSG00000024423,16.321373,0.45598027,6.955397088798579e-60,3.2544202175632193e-57
ENSMUSG00000034825,16.255735,2.3177762,2.0341588266231123e-59,9.249692636271434e-57
ENSMUSG00000038486,16.216576,0.5539378,3.8506983106243113e-59,1.7030108898425464e-56
ENSMUSG00000028833,15.994749,1.2912701,1.390180610309492e-57,5.407467590824332e-55
ENSMUSG00000056851,15.972288,0.6050318,1.9933578474544804e-57,7.661375964889035e-55
ENSMUSG00000058297,15.962629,0.44020218,2.3271878562458838e-57,8.839207051635101e-55
ENSMUSG00000027438,15.61191,1.0088922,6.040180716676196e-55,2.1429366421746263e-52
ENSMUSG00000044349,15.539569,0.2615506,1.872376164865332e-54,6.570615704638831e-52
ENSMUSG00000026123,15.499647,0.73435,3.4880387862295545e-54,1.1979928958874593e-51
ENSMUSG00000000826,15.416989,0.5518939,1.2583448572842764e-53,4.2045963244982876e-51
ENSMUSG00000021087,15.416738,0.24319087,1.2632672865923307e-53,4.2045963244982876e-51
ENSMUSG00000052459,15.394988,0.51175153,1.7685687497084426e-53,5.82635123309562e-51
ENSMUSG00000027301,15.231569,2.7160797,2.182885440573133e-52,6.97766895533699e-50
ENSMUSG00000000792,15.181544,2.5241363,4.686197367325639e-52,1.4832733529814534e-49
ENSMUSG00000017390,15.0701065,2.1952608,2.5470133416103434e-51,7.685077171391584e-49
ENSMUSG00000064358,15.034487,0.36424157,4.364171846756026e-51,1.2808844370228936e-48
ENSMUSG00000058254,14.928552,0.51601213,2.148820982360789e-50,6.139352691638768e-48
ENSMUSG00000034187,14.908239,0.51142436,2.913346192094053e-50,8.250647527347062e-48
ENSMUSG00000025203,14.862853,1.1308984,5.742687337071456e-50,1.5982987989426893e-47
ENSMUSG00000022456,14.847851,0.5248615,7.183453153932329e-50,1.9654049582602142e-47
ENSMUSG00000043384,14.760334,0.32401004,2.6397143126605804e-49,6.985506277397282e-47
ENSMUSG00000022463,14.753142,1.3082166,2.93665944857605e-49,7.708134170510388e-47
ENSMUSG00000017466,14.668621,0.5705718,1.0240555428329377e-48,2.623939142885825e-46
ENSMUSG00000029405,14.4279785,0.47566563,3.45047789599165e-47,8.503715944434383e-45
ENSMUSG00000025190,14.349723,1.2860361,1.0696352260947824e-46,2.5771024831694066e-44
ENSMUSG00000022564,14.3315115,0.6275442,1.3905991363250078e-46,3.3011391997244764e-44
ENSMUSG00000030058,14.32805,0.98641396,1.461673349840872e-46,3.4445346058111357e-44
ENSMUSG00000007564,14.301945,0.6015371,2.127798061917299e-46,4.977968147028985e-44
ENSMUSG00000019877,14.199953,0.35248247,9.167394516565369e-46,2.0697156081630272e-43
ENSMUSG00000020340,14.179877,0.5340622,1.2206010320392753e-45,2.736604466624167e-43
ENSMUSG00000015291,14.072887,0.52908427,5.574588895382682e-45,1.2078899495800664e-42
ENSMUSG00000068923,14.051505,0.31735533,7.541422795235175e-45,1.623165566294451e-42
ENSMUSG00000020456,14.027654,0.73514867,1.0558712292047095e-44,2.2575365983360297e-42
ENSMUSG00000030806,13.948428,0.7077355,3.216156304413489e-44,6.742441966752564e-42
ENSMUSG00000020297,13.891869,0.41879177,7.095938681369857e-44,1.4591871358472984e-41
ENSMUSG00000090101,13.866054,2.0178683,1.017211257735646e-43,2.0785231301262868e-41
ENSMUSG00000025393,13.79593,0.639652,2.6965358374377437e-43,5.407308044203574e-41
ENSMUSG00000026575,13.763382,1.2479962,4.2325410788103975e-43,8.435036341320598e-41
ENSMUSG00000060450,13.7139,0.56493056,8.382881729795477e-43,1.6502520527222375e-40
ENSMUSG00000025855,13.6937475,0.35356233,1.1065253529478878e-42,2.1651012739347004e-40
ENSMUSG00000055067,13.668489,0.56830347,1.5661152182717898e-42,3.0459054109581165e-40
ENSMUSG00000003469,13.557014,1.5675864,7.200779623223319e-42,1.3595156148290342e-39
ENSMUSG00000022415,13.548402,0.68489885,8.09739918424795e-42,1.5111244662626882e-39
ENSMUSG00000033419,13.520508,0.36001056,1.1835554349742244e-41,2.196039495295565e-39
ENSMUSG00000032193,13.517657,2.2204204,1.2303120568410855e-41,2.26974998600654e-39
ENSMUSG00000021288,13.39264,0.49043235,6.676446298872532e-41,1.2177913489214673e-38
ENSMUSG00000046785,13.340239,0.5259508,1.350272046922714e-40,2.408482488116012e-38
ENSMUSG00000001847,13.306124,0.5917414,2.1326187835811612e-40,3.7217079690766375e-38
ENSMUSG00000068151,13.305306,0.70389533,2.1560797509998236e-40,3.742421223711253e-38
ENSMUSG00000025777,13.284504,0.72859883,2.847374666477412e-40,4.889760165277832e-38
ENSMUSG00000022199,13.24086,0.46148473,5.096171568828044e-40,8.524865238321937e-38
ENSMUSG00000029651,13.222519,1.4589671,6.504821389912422e-40,1.0769649157606285e-37
ENSMUSG00000018326,13.177729,0.32116237,1.1788659594786924e-39,1.9319638325771364e-37
ENSMUSG00000072825,13.11744,1.1127946,2.6162358664335702e-39,4.244481153156172e-37
ENSMUSG00000040722,13.11002,0.7618639,2.8852350208106463e-39,4.657490632343585e-37
ENSMUSG00000059361,13.101453,0.3836799,3.230144733873693e-39,5.188319538960805e-37
"gene_symbol
Aldoa    ENSMUSG00000030695
Aldoa    ENSMUSG00000114515
Name: gene_identifier, dtype: object",13.019782,0.49150255,9.444058945824816e-39,1.4873241125168499e-36
ENSMUSG00000013921,13.001326,0.5992751,1.2024027836229984e-38,1.8753417328149035e-36
ENSMUSG00000028020,13.000295,0.7219962,1.2187345415238226e-38,1.8916752246681065e-36
ENSMUSG00000031604,12.932057,1.6875473,2.967679313355194e-38,4.540830646050826e-36
ENSMUSG00000006273,12.920618,0.35282424,3.443661988034932e-38,5.2442748718730084e-36
ENSMUSG00000032356,12.91312,0.8521651,3.7959917285882875e-38,5.726803409227704e-36
ENSMUSG00000056812,12.889232,0.76558995,5.175702653886636e-38,7.77197954328977e-36
ENSMUSG00000045294,12.863034,1.8086745,7.266712041806375e-38,1.0761733865583432e-35
ENSMUSG00000023826,12.8542385,0.51594746,8.142403623319779e-38,1.2003538857483062e-35
ENSMUSG00000004071,12.8501425,0.49693516,8.585246169188967e-38,1.2598848753284808e-35
ENSMUSG00000064329,12.824296,0.9416419,1.1986975578047227e-37,1.7511289888563562e-35
ENSMUSG00000018411,12.817311,0.2891662,1.311702456624218e-37,1.9075817032483277e-35
ENSMUSG00000034723,12.80847,0.32395864,1.4700529081007518e-37,2.1187793811621775e-35
ENSMUSG00000076432,12.734249,0.4573647,3.814972318395735e-37,5.425831775304243e-35
ENSMUSG00000020402,12.729389,0.7624191,4.060037080687757e-37,5.749048120614221e-35
ENSMUSG00000027546,12.705248,0.4595854,5.529414311812646e-37,7.761614828559621e-35
ENSMUSG00000041329,12.656254,1.287987,1.0331260009467977e-36,1.4376927991623863e-34
ENSMUSG00000024767,12.593046,0.94320816,2.3059958561749594e-36,3.181584453701221e-34
ENSMUSG00000022055,12.580299,1.616349,2.7100194578853627e-36,3.7231054552267633e-34
ENSMUSG00000010803,12.556456,1.3957025,3.663805352601525e-36,5.012116771556789e-34
ENSMUSG00000040907,12.546819,0.34323192,4.138018433420574e-36,5.63695886594866e-34
ENSMUSG00000110185,12.34389,1.1095177,5.255381578826092e-35,6.953688289852475e-33
ENSMUSG00000028809,12.340207,0.53746575,5.501436163653735e-35,7.249545573206565e-33
ENSMUSG00000028756,12.318854,1.1590712,7.17053146453462e-35,9.410593834654481e-33
ENSMUSG00000047126,12.167296,0.42459577,4.642042528313419e-34,6.018808956891516e-32
ENSMUSG00000070880,12.140068,0.5779006,6.477251076753261e-34,8.364722040519161e-32
ENSMUSG00000036699,12.135696,0.5330392,6.83263081990296e-34,8.788505419146098e-32
ENSMUSG00000021687,12.087956,0.49852002,1.2229135908597625e-33,1.5605440822493057e-31
ENSMUSG00000041986,12.05926,0.6596204,1.7333348978043098e-33,2.1859655146723495e-31
ENSMUSG00000020532,12.025963,0.7164724,2.5954353290475034e-33,3.235275274065585e-31
ENSMUSG00000058793,11.989877,0.40195042,4.015000881292089e-33,4.928680739639357e-31
ENSMUSG00000031066,11.984,0.47678882,4.310120591443843e-33,5.270918306619866e-31
ENSMUSG00000066392,11.964781,0.33606184,5.434111556606598e-33,6.595499684400151e-31
ENSMUSG00000024403,11.961862,0.70993835,5.628602155375815e-33,6.8059708084759615e-31
ENSMUSG00000035847,11.907121,0.43371007,1.0866503464237171e-32,1.2993520901588782e-30
ENSMUSG00000003410,11.899165,0.32434288,1.1953677010190136e-32,1.4188399348308403e-30
ENSMUSG00000020657,11.835889,0.96748716,2.546323030980862e-32,2.9893832383715323e-30
ENSMUSG00000032238,11.823531,0.88709617,2.9501728373550175e-32,3.4509539874640126e-30
ENSMUSG00000032479,11.788713,0.50939906,4.463044693160474e-32,5.183071867578629e-30
ENSMUSG00000021913,11.713271,1.6968441,1.0899215573800771e-31,1.2433963773857169e-29
ENSMUSG00000040276,11.705094,0.41936347,1.2002632659349882e-31,1.3596666505512664e-29
ENSMUSG00000032320,11.697543,0.51283646,1.3119660249249714e-31,1.4810078012133812e-29
ENSMUSG00000036473,11.682856,1.2004073,1.5596676668519722e-31,1.748398285566525e-29
ENSMUSG00000043388,11.649482,0.27078113,2.30857189472826e-31,2.578970367519096e-29
ENSMUSG00000025151,11.63257,0.47400293,2.814920907112566e-31,3.1123192289770274e-29
ENSMUSG00000020658,11.61572,1.1308142,3.4289013275558415e-31,3.765376848984366e-29
ENSMUSG00000027634,11.603048,0.48731527,3.976546748071975e-31,4.351959720728939e-29
ENSMUSG00000032788,11.6006565,0.6809943,4.0892779708626156e-31,4.445196609067325e-29
ENSMUSG00000031144,11.598838,0.3452096,4.17711514550497e-31,4.525441693712348e-29
ENSMUSG00000062825,11.5162115,0.3596635,1.0931239938466175e-30,1.1647362422883844e-28
ENSMUSG00000019894,11.508623,1.3297989,1.1936938158596415e-30,1.2677106856917277e-28
ENSMUSG00000030105,11.453722,0.5606951,2.2526143570973062e-30,2.3766553764342e-28
ENSMUSG00000102869,11.4244375,0.32863516,3.156937347939164e-30,3.298437614181745e-28
ENSMUSG00000102494,11.422389,2.3663907,3.232239162856912e-30,3.3662206894463037e-28
ENSMUSG00000031227,11.402619,0.8381771,4.0572632288490805e-30,4.19835715844207e-28
ENSMUSG00000002625,11.36745,0.740359,6.073603331155279e-30,6.205262137542664e-28
ENSMUSG00000041720,11.341168,0.4882684,8.204126393585535e-30,8.329252220657515e-28
ENSMUSG00000031672,11.328651,0.8662181,9.465115075446972e-30,9.579349222909263e-28
ENSMUSG00000052889,11.291174,0.6689038,1.4508538363928185e-29,1.454683730060315e-27
ENSMUSG00000055430,11.214294,0.1906831,3.469417357892201e-29,3.446465827678452e-27
ENSMUSG00000027951,11.187402,0.5308383,4.700038092002026e-29,4.654623613505687e-27
ENSMUSG00000068742,11.0917,1.2426783,1.3764706294444837e-28,1.3425786789007602e-26
ENSMUSG00000000787,11.084738,0.864151,1.487856561028317e-28,1.4468508756867234e-26
ENSMUSG00000029148,11.084416,1.2038378,1.4932020485608253e-28,1.4476885326662537e-26
ENSMUSG00000029016,11.077669,1.0966302,1.6101011061152217e-28,1.5563507248781416e-26
ENSMUSG00000015709,11.070951,0.7414003,1.735481317481898e-28,1.6725377413403904e-26
ENSMUSG00000030161,11.058808,0.32800004,1.9872054306391897e-28,1.9094323609579238e-26
ENSMUSG00000038860,11.058289,0.95039016,1.998750676626824e-28,1.914826872252137e-26
ENSMUSG00000021820,11.02072,0.6206488,3.036212035470059e-28,2.9001214664245813e-26
ENSMUSG00000020149,11.015799,0.55855846,3.206810649543845e-28,3.054037811814839e-26
ENSMUSG00000030310,11.003709,0.8803389,3.667328649930244e-28,3.482344278323468e-26
ENSMUSG00000102758,10.985482,1.2345299,4.488359224771568e-28,4.2494626853885655e-26
ENSMUSG00000034341,10.9670725,0.45617005,5.502537099549382e-28,5.179283097928624e-26
ENSMUSG00000074657,10.918278,0.44613576,9.426674757957255e-28,8.695434130304285e-26
ENSMUSG00000029580,10.901129,0.6334701,1.1383663786012032e-27,1.044095412873291e-25
ENSMUSG00000023353,10.869207,0.63916063,1.6159867717602153e-27,1.465509351861757e-25
ENSMUSG00000093930,10.867755,0.99710643,1.6419067979195237e-27,1.4848448451213397e-25
ENSMUSG00000029714,10.842368,1.304628,2.167853177080663e-27,1.9550039056438327e-25
ENSMUSG00000087301,10.837309,1.6618286,2.2911091228602875e-27,2.0604027306836874e-25
ENSMUSG00000035640,10.82178,0.3504046,2.7145223533740324e-27,2.427655240406666e-25
ENSMUSG00000038301,10.820451,0.7169811,2.7541972244141553e-27,2.456333077077652e-25
ENSMUSG00000022523,10.8011465,0.43824387,3.399314127297755e-27,3.0067631945152878e-25
ENSMUSG00000024462,10.789844,0.33922678,3.844415161342414e-27,3.3911733192333287e-25
ENSMUSG00000057421,10.774568,1.4068571,4.539106447244997e-27,3.993053178455169e-25
ENSMUSG00000039652,10.745099,0.4537007,6.249453849862159e-27,5.482706998445646e-25
ENSMUSG00000030327,10.743303,0.52238524,6.372258245627218e-27,5.560225877299318e-25
ENSMUSG00000026576,10.729823,0.31826216,7.373738505785702e-27,6.416742524509202e-25
ENSMUSG00000036062,10.727477,1.1520282,7.563323127418543e-27,6.546431291386264e-25
ENSMUSG00000020392,10.697069,1.4133482,1.0504883177866765e-26,8.99602528905646e-25
ENSMUSG00000029430,10.693095,0.55541325,1.0964981692030531e-26,9.34048638330358e-25
ENSMUSG00000026202,10.6794,1.014721,1.270901120411454e-26,1.0769302538709656e-24
ENSMUSG00000041263,10.666844,1.3750829,1.4548377951421622e-26,1.226356089194901e-24
ENSMUSG00000021910,10.655151,0.3731831,1.6497531042543338e-26,1.3870385148659158e-24
ENSMUSG00000022892,10.64945,0.31823558,1.7539681308357822e-26,1.4708275611437202e-24
ENSMUSG00000042761,10.631209,1.5319037,2.1332870715319718e-26,1.7842790959691634e-24
ENSMUSG00000021259,10.533428,1.2060512,6.05869104226666e-26,4.9899193953974265e-24
ENSMUSG00000022223,10.524433,1.209889,6.666123932156194e-26,5.4762292913400185e-24
ENSMUSG00000038126,10.522477,1.2547145,6.806031106917335e-26,5.576972443828075e-24
ENSMUSG00000002718,10.499275,1.2880428,8.704549705841258e-26,7.114592082356583e-24
ENSMUSG00000028528,10.4903345,0.3147084,9.568915684413347e-26,7.801324314931438e-24
ENSMUSG00000007021,10.470114,0.59030753,1.1850103527593388e-25,9.612577698199812e-24
ENSMUSG00000037259,10.460041,0.3990215,1.3179856995997152e-25,1.0664453210921505e-23
ENSMUSG00000005469,10.458192,0.40144804,1.3439611140126769e-25,1.0847446141474817e-23
ENSMUSG00000048307,10.447233,0.9259493,1.5086276794619618e-25,1.2146145793373925e-23
ENSMUSG00000011752,10.44199,0.5153773,1.5943231666610028e-25,1.280416005861952e-23
ENSMUSG00000076441,10.421708,1.5247877,1.9737589937326664e-25,1.57729725526384e-23
ENSMUSG00000075415,10.405721,0.5707479,2.334820755570751e-25,1.8612268665086838e-23
ENSMUSG00000027309,10.367235,0.32205567,3.494902203758636e-25,2.779135902668659e-23
ENSMUSG00000030337,10.357988,1.4972854,3.8497354946290263e-25,3.05377666938816e-23
ENSMUSG00000044005,10.335222,1.5560685,4.882779994027123e-25,3.835536547619603e-23
ENSMUSG00000019432,10.287926,1.0292299,7.987883743646641e-25,6.199250640952688e-23
ENSMUSG00000115783,10.262546,1.4409226,1.0392984081567846e-24,8.008054679556514e-23
ENSMUSG00000022295,10.26127,0.535472,1.053127774166294e-24,8.095292902133047e-23
ENSMUSG00000009894,10.23547,0.4206748,1.3752586087127861e-24,1.0496506898887068e-22
ENSMUSG00000034926,10.216731,1.3522158,1.6687287124461558e-24,1.2706345868236825e-22
ENSMUSG00000028785,10.19525,1.5114108,2.0820920234431627e-24,1.5742468612848361e-22
ENSMUSG00000039953,10.160073,0.41892743,2.9885300186088687e-24,2.2515297763294925e-22
ENSMUSG00000026163,10.143436,1.6452866,3.544097633710924e-24,2.6486387061193795e-22
ENSMUSG00000062070,10.143168,0.8807765,3.553818041777377e-24,2.6497694105954418e-22
ENSMUSG00000041028,10.138789,0.6623824,3.7167623632586116e-24,2.764877255709776e-22
ENSMUSG00000037217,10.1232605,0.49596524,4.3565463055267076e-24,3.225942602613068e-22
ENSMUSG00000060681,10.119837,0.9304365,4.511656440364761e-24,3.3331539628644465e-22
ENSMUSG00000020785,10.116016,1.409638,4.691236252548866e-24,3.4579123838707795e-22
ENSMUSG00000031840,10.039328,0.34251672,1.023696720231142e-23,7.477386563950773e-22
ENSMUSG00000019087,10.027872,0.60219306,1.149676448626661e-23,8.359753185565708e-22
ENSMUSG00000057177,10.019718,0.7906336,1.248588794642924e-23,9.03827112893426e-22
ENSMUSG00000027620,10.017517,0.25177407,1.2767013947307998e-23,9.221097210041133e-22
ENSMUSG00000021719,10.011679,1.1153903,1.3543513072345753e-23,9.738359009814759e-22
ENSMUSG00000061298,10.001835,0.39324886,1.4959843434865984e-23,1.0732856562103295e-21
ENSMUSG00000044042,10.000911,1.6434892,1.510020660252138e-23,1.0809538141073232e-21
ENSMUSG00000031523,9.974561,1.5219042,1.969713285533454e-23,1.40690693414707e-21
ENSMUSG00000027340,9.960125,0.7143715,2.2777692789218183e-23,1.6197749156385662e-21
ENSMUSG00000030854,9.95272,0.88686424,2.4538430749800004e-23,1.7373316595554672e-21
ENSMUSG00000032594,9.938795,0.46497583,2.822187850990412e-23,1.9893959556599442e-21
ENSMUSG00000070934,9.920859,1.0484321,3.378343615404152e-23,2.376248880682419e-21
ENSMUSG00000059974,9.917963,0.8664124,3.4778074745373345e-23,2.4408916155529966e-21
ENSMUSG00000036564,9.914654,0.2785739,3.5949953427109006e-23,2.5176664780785558e-21
ENSMUSG00000106847,9.903069,0.48146915,4.0369430761215403e-23,2.8210542686706476e-21
ENSMUSG00000042298,9.897261,0.6434448,4.278331944254592e-23,2.9832817887745035e-21
ENSMUSG00000014956,9.889909,0.46943074,4.6044655269780685e-23,3.2037752055708393e-21
ENSMUSG00000020530,9.839678,0.56867754,7.595403900956507e-23,5.22852057446441e-21
ENSMUSG00000090213,9.80269,1.2135026,1.0962707553038237e-22,7.498538418428802e-21
ENSMUSG00000026553,9.796301,0.63642955,1.1678451474717154e-22,7.954405186946061e-21
ENSMUSG00000024862,9.788368,0.96675503,1.2631796869722032e-22,8.585632882925807e-21
ENSMUSG00000037419,9.78794,1.0183469,1.268536505671498e-22,8.603928799496705e-21
ENSMUSG00000032412,9.748988,0.8572831,1.8631555424877827e-22,1.2557823943469325e-20
ENSMUSG00000023236,9.748514,0.34519452,1.8718706395223522e-22,1.2590279916037322e-20
ENSMUSG00000024044,9.72124,0.5160734,2.4478243699208093e-22,1.6361906787348513e-20
ENSMUSG00000021273,9.7165785,1.114371,2.562481527010422e-22,1.7092916549489973e-20
ENSMUSG00000038664,9.715402,0.41386223,2.592258306186409e-22,1.725588853922231e-20
ENSMUSG00000020321,9.705176,0.52689946,2.865807984189204e-22,1.9037574232417377e-20
ENSMUSG00000046876,9.669854,0.6041305,4.04954066725839e-22,2.6790864844761706e-20
ENSMUSG00000004187,9.662702,1.1910448,4.3425921897012675e-22,2.867087706431604e-20
ENSMUSG00000017167,9.6559305,1.2563063,4.6392861605734505e-22,3.056721503961507e-20
ENSMUSG00000019179,9.618087,1.1354455,6.706703216494865e-22,4.40093319805969e-20
ENSMUSG00000008348,9.603621,0.49751762,7.718479250083488e-22,5.024014165099706e-20
ENSMUSG00000039485,9.571791,0.30929357,1.0506976351395548e-21,6.811601034233037e-20
ENSMUSG00000020612,9.570928,0.20179234,1.059511698979648e-21,6.854976994300187e-20
ENSMUSG00000024921,9.560702,0.5366316,1.1696057568108475e-21,7.552144371727642e-20
ENSMUSG00000020668,9.488606,0.5177651,2.3414355403092256e-21,1.4706857279938395e-19
ENSMUSG00000005103,9.463357,1.0114948,2.9821265757951645e-21,1.8586478088715616e-19
ENSMUSG00000006651,9.449364,0.34268752,3.408952536196578e-21,2.116500627521279e-19
ENSMUSG00000048895,9.446545,0.50068086,3.502019690121674e-21,2.170109514310523e-19
ENSMUSG00000030729,9.423832,0.8633667,4.349196570005671e-21,2.6899197559891397e-19
ENSMUSG00000037266,9.417657,0.54548603,4.612656969497679e-21,2.8474116684556897e-19
ENSMUSG00000032482,9.416266,0.61076474,4.674145178070587e-21,2.879862157900933e-19
ENSMUSG00000032011,9.406201,1.2030953,5.143911167699624e-21,3.1632604199844256e-19
ENSMUSG00000032279,9.405315,0.739368,5.187459149127023e-21,3.18397563934536e-19
ENSMUSG00000032294,9.399446,0.36144575,5.48511878372259e-21,3.347581473203853e-19
ENSMUSG00000025428,9.39846,0.271174,5.536747193206618e-21,3.3727147760882197e-19
ENSMUSG00000058975,9.365179,0.6451295,7.592176355434383e-21,4.581559133368206e-19
ENSMUSG00000016541,9.346311,0.40730748,9.075868627245529e-21,5.436260085911353e-19
ENSMUSG00000024743,9.342772,1.1723075,9.384442782732696e-21,5.610680282231946e-19
ENSMUSG00000035964,9.325356,0.68120193,1.1061207400467528e-20,6.600944194530392e-19
ENSMUSG00000033953,9.320488,0.4258089,1.1580691143566048e-20,6.898203202399076e-19
ENSMUSG00000031299,9.319586,0.9062665,1.1679536845751752e-20,6.944269743371922e-19
ENSMUSG00000066324,9.313479,0.53023,1.2371143364436014e-20,7.34195521177972e-19
ENSMUSG00000005089,9.307763,1.481316,1.3055238339128417e-20,7.733731555573596e-19
ENSMUSG00000029309,9.286824,1.5990118,1.5896070742571143e-20,9.382168993124487e-19
ENSMUSG00000043670,9.282667,1.3063289,1.6528884624440854e-20,9.720128234974008e-19
ENSMUSG00000027895,9.2679405,1.2538884,1.8977490327721928e-20,1.1099425275914899e-18
ENSMUSG00000028826,9.263057,0.57291156,1.9866110252474882e-20,1.1598144113944874e-18
ENSMUSG00000051098,9.249416,0.67547953,2.2572274132189315e-20,1.313055622266184e-18
ENSMUSG00000002103,9.19424,1.0514835,3.776551853258221e-20,2.1772495818293155e-18
ENSMUSG00000031256,9.173132,0.71284616,4.5946978592815785e-20,2.6426826074682848e-18
ENSMUSG00000046532,9.173002,1.3550856,4.600240437965545e-20,2.6426826074682848e-18
ENSMUSG00000079037,9.171886,0.28221142,4.648114338273381e-20,2.6654417657398952e-18
ENSMUSG00000031924,9.161929,0.761257,5.097776692536049e-20,2.918115612030609e-18
ENSMUSG00000030120,9.15729,0.38703033,5.3216785778526246e-20,3.0408919094862297e-18
ENSMUSG00000031432,9.153263,0.8579807,5.52393600074154e-20,3.150888229398244e-18
ENSMUSG00000006373,9.150329,0.33827344,5.676078910872498e-20,3.2319613339950367e-18
ENSMUSG00000022389,9.143878,0.9367005,6.025184835475633e-20,3.4247023312206127e-18
ENSMUSG00000055932,9.140669,0.36764744,6.206735889555971e-20,3.515516985865167e-18
ENSMUSG00000021573,9.138399,0.7549588,6.338371806298404e-20,3.583788682422837e-18
ENSMUSG00000038965,9.138116,0.55382705,6.354962992388173e-20,3.586887765896017e-18
ENSMUSG00000018750,9.135273,0.8947051,6.524175470633923e-20,3.675968674858922e-18
ENSMUSG00000040687,9.132805,0.6928535,6.674706163694944e-20,3.754231506879638e-18
ENSMUSG00000025220,9.125973,0.5247749,7.109479226265144e-20,3.991818031651655e-18
ENSMUSG00000033392,9.093563,0.27549827,9.584575693335622e-20,5.353599070230806e-18
ENSMUSG00000097156,9.090001,1.5485731,9.903772326831155e-20,5.522336607456717e-18
ENSMUSG00000023832,9.089115,1.2689828,9.984848386689973e-20,5.5579453476601e-18
ENSMUSG00000024083,9.086967,0.20159993,1.0183977324972717e-19,5.659031117672017e-18
ENSMUSG00000024867,9.0857525,1.0627856,1.0298385142021863e-19,5.71277258264907e-18
ENSMUSG00000033059,9.068076,0.9779935,1.2113678149473599e-19,6.708234975227361e-18
ENSMUSG00000020810,9.054297,0.96582174,1.3744964344901007e-19,7.572630953500495e-18
ENSMUSG00000031703,9.036476,0.50360847,1.6180370164301655e-19,8.884068890382295e-18
ENSMUSG00000023845,9.032327,0.6069178,1.680602141512946e-19,9.211925320669859e-18
ENSMUSG00000068740,9.02376,0.8873328,1.8174248641249577e-19,9.945010464114282e-18
ENSMUSG00000015837,9.021841,0.3820056,1.849537334509545e-19,1.010360623428776e-17
ENSMUSG00000032589,9.001262,0.7262167,2.2313924413496106e-19,1.2128031139557605e-17
ENSMUSG00000057230,8.987185,0.27786723,2.536446283272772e-19,1.3716778602254847e-17
ENSMUSG00000066705,8.978869,0.26398122,2.7356207943775567e-19,1.4744493713936464e-17
ENSMUSG00000044043,8.96986,1.8849366,2.968920237222976e-19,1.5975264976457295e-17
ENSMUSG00000029076,8.967269,0.5276643,3.039566974901423e-19,1.6328189648035348e-17
ENSMUSG00000027104,8.951878,0.30445206,3.494852825078251e-19,1.87427447604072e-17
ENSMUSG00000037905,8.941462,0.96446157,3.840560738751011e-19,2.0528560173936488e-17
